,number_of_a,number_of_b,number_of_used_a,number_of_used_b,status,Total cost
589,11,39,11,2,Optimal,1207002
590,11,40,11,2,Optimal,1207002
591,11,41,11,2,Optimal,1207002
592,11,42,11,2,Optimal,1207002
593,11,43,11,2,Optimal,1207002
594,11,44,11,2,Optimal,1207002
595,11,45,11,2,Optimal,1207002
596,11,46,11,2,Optimal,1207002
597,11,47,11,2,Optimal,1207002
598,11,48,11,2,Optimal,1207002
599,11,49,11,2,Optimal,1207002
600,12,0,12,0,Infeasible,1227223
601,12,1,12,1,Optimal,1201209
602,12,2,12,1,Optimal,1201209
603,12,3,12,1,Optimal,1201209
604,12,4,12,1,Optimal,1201209
605,12,5,12,1,Optimal,1201209
606,12,6,12,1,Optimal,1201209
607,12,7,12,1,Optimal,1201209
608,12,8,12,1,Optimal,1201209
609,12,9,12,1,Optimal,1201209
610,12,10,12,1,Optimal,1201209
611,12,11,12,1,Optimal,1201209
612,12,12,12,1,Optimal,1201209
613,12,13,12,1,Optimal,1201209
614,12,14,12,1,Optimal,1201209
615,12,15,12,1,Optimal,1201209
616,12,16,12,1,Optimal,1201209
617,12,17,12,1,Optimal,1201209
618,12,18,12,1,Optimal,1201209
619,12,19,12,1,Optimal,1201209
620,12,20,12,1,Optimal,1201209
621,12,21,12,1,Optimal,1201209
622,12,22,12,1,Optimal,1201209
623,12,23,12,1,Optimal,1201209
624,12,24,12,1,Optimal,1201209
625,12,25,12,1,Optimal,1201209
626,12,26,12,1,Optimal,1201209
627,12,27,12,1,Optimal,1201209
628,12,28,12,1,Optimal,1201209
629,12,29,12,1,Optimal,1201209
630,12,30,12,1,Optimal,1201209
631,12,31,12,1,Optimal,1201209
632,12,32,12,1,Optimal,1201209
633,12,33,12,1,Optimal,1201209
634,12,34,12,1,Optimal,1201209
635,12,35,12,1,Optimal,1201209
636,12,36,12,1,Optimal,1201209
637,12,37,12,1,Optimal,1201209
638,12,38,12,1,Optimal,1201209
639,12,39,12,1,Optimal,1201209
640,12,40,12,1,Optimal,1201209
641,12,41,12,1,Optimal,1201209
642,12,42,12,1,Optimal,1201209
643,12,43,12,1,Optimal,1201209
644,12,44,12,1,Optimal,1201209
645,12,45,12,1,Optimal,1201209
646,12,46,12,1,Optimal,1201209
647,12,47,12,1,Optimal,1201209
648,12,48,12,1,Optimal,1201209
649,12,49,12,1,Optimal,1201209
650,13,0,13,0,Optimal,1198540
651,13,1,13,0,Optimal,1198540
652,13,2,13,0,Optimal,1198540
653,13,3,13,0,Optimal,1198540
